KL Loss,QF Loss,VF Loss,Policy Loss,Preference Loss,AverageTrainReturn_all_train_tasks,ulam_AverageReturn_all_test_tasks,greedy_AverageReturn_all_test_tasks,random_AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.43689057,562.0265,250.88667,-4039.754,0.02575797,1928.5879009356536,1547.171618772136,713.1584497730219,1133.0713751115866,560000,2800000,0,38.678866299998845,72.09624710000026,453.13930329999675,563.9144166999959,15573.769980800022,27
0.4135792,484.90143,183.39505,-4046.7297,0.011322137,1839.9022422736853,1498.4064740324313,337.2977972610513,-792.3720930046992,580000,2900000,0,39.84128609999971,68.65949989999899,455.1934750000037,563.6942610000024,16139.70921580003,28
0.41838622,1194.0931,406.9967,-4113.33,0.1431761,1945.0182671405346,1537.6887175160814,757.3871783899697,1139.4748030920387,600000,3000000,0,38.27923390000069,70.90488960000039,451.99130930001775,561.1754328000188,16697.069776800046,29
0.45373207,583.4824,198.22598,-4266.3076,0.037468936,1859.901230316458,1576.8021698694079,1957.5895967946099,751.0987068573606,620000,3100000,0,38.90669699999853,67.0899849999987,433.37712620001184,539.3738082000091,17234.642703700054,30
0.42787728,732.07275,518.42303,-4222.1294,0.1297923,1936.056010476338,1564.2986603673435,748.0660250361361,769.3390763790026,640000,3200000,0,38.040031000000454,65.28907770000296,450.90818730000683,554.2372960000102,17792.63025560006,31
0.49500424,2070.2393,901.91376,-4507.8335,0.46998397,2077.3370828796624,1946.060986078273,761.2942351647248,1529.6337166268522,660000,3300000,0,35.891007700000046,69.03925729999901,440.1841156000228,545.1143806000218,18336.03946300008,32
0.43586442,536.0923,208.88927,-4325.2783,0.009276024,1994.454707553808,1528.0371837051962,1127.6797436698153,1132.6864081972035,680000,3400000,0,38.03002379999816,67.33418220000021,449.59640819999913,554.9606141999975,18893.00086410007,33
0.44004723,1124.0443,968.63434,-4361.629,0.00092940254,2015.650700199425,1962.131193309636,1146.5995850699367,767.1177831744833,700000,3500000,0,40.68915339999876,69.33507629999804,437.58533190000526,547.609561600002,19440.327798500075,34
0.44392768,1147.2633,918.42065,-4332.0293,0.01535809,1874.3979379649354,1985.7285468278446,-46.15256875541206,747.6969992310186,720000,3600000,0,39.00731100000121,69.05278779999935,447.463622100011,555.5237209000115,19993.45300730008,35
0.44978663,782.2968,413.49026,-4384.843,0.0008086442,2123.2157427873053,1966.3437681297173,-47.77495834730378,369.9585821145474,740000,3700000,0,39.14728449999893,66.65420480000103,453.5383550999977,559.3398443999977,20556.28896570008,36
0.42386928,1105.0012,393.24655,-4254.065,0.1455256,1868.7572450728185,1574.7051041485875,1618.7178192894548,780.5858315381554,760000,3800000,0,39.32235529999889,70.15009110000028,447.1201788000217,556.5926252000208,21119.497401900106,37
0.42945477,498.0177,156.80742,-4303.1904,0.00090100773,1949.3006677468318,1967.3297811100956,1550.418374339524,1169.8443545994835,780000,3900000,0,39.850244199999,76.76608320000014,445.2940455999924,561.9103729999915,21669.8942863001,38
0.533333,1249.9163,588.36646,-4723.614,0.030865788,1962.3899299675925,1981.0277862571056,1180.9767094406802,1199.800953191213,800000,4000000,0,37.54889980000007,65.25254389999827,434.05304580001393,536.8544895000123,22210.610793200114,39
0.44423458,3749.9155,209.04176,-4361.6436,0.008689984,2085.075358666557,1946.2443756588586,328.95659678711854,1170.3085025848015,820000,4100000,0,38.3515112999994,69.11470019999979,443.4000330999952,550.8662445999944,22759.07562860011,40
